code,date,open,close,high,low,volume
hs300,2015-01-05,3566.09,3641.54,3669.04,3551.51,451198098.0
hs300,2015-01-06,3608.43,3641.06,3683.23,3587.23,420962185.0
hs300,2015-01-07,3620.92,3643.79,3671.19,3601.7,320191232.0
hs300,2015-01-08,3650.07,3559.26,3659.95,3552.1,295003045.0
hs300,2015-01-09,3547.57,3546.72,3689.75,3536.4,349982672.0
hs300,2015-01-12,3531.51,3513.58,3560.53,3461.32,266567175.0
hs300,2015-01-13,3506.45,3514.04,3550.16,3494.77,187153965.0
hs300,2015-01-14,3522.91,3502.42,3547.24,3471.56,196012510.0
hs300,2015-01-15,3501.72,3604.12,3604.12,3482.27,237812338.0
hs300,2015-01-16,3616.25,3635.15,3662.16,3601.26,282681614.0
hs300,2015-01-19,3414.01,3355.16,3497.25,3330.98,329505275.0
hs300,2015-01-20,3336.79,3396.22,3419.2,3325.68,297843232.0
hs300,2015-01-21,3420.49,3548.89,3557.79,3409.43,337928210.0
hs300,2015-01-22,3551.05,3567.61,3576.76,3520.05,268853599.0
hs300,2015-01-23,3582.09,3571.73,3627.81,3548.63,280172172.0
hs300,2015-01-26,3580.12,3607.99,3611.62,3559.38,239766203.0
hs300,2015-01-27,3614.04,3574.93,3616.26,3510.02,287669179.0
hs300,2015-01-28,3547.24,3525.32,3583.31,3512.39,216220214.0
hs300,2015-01-29,3474.92,3481.8,3505.58,3453.9,211618860.0
hs300,2015-01-30,3496.89,3434.39,3514.22,3431.94,196479157.0
hs300,2015-02-02,3360.19,3353.96,3407.26,3347.08,195183699.0
hs300,2015-02-03,3388.6,3437.45,3441.71,3360.72,192846096.0
hs300,2015-02-04,3446.14,3401.77,3476.82,3399.56,191304349.0
hs300,2015-02-05,3487.95,3366.95,3487.95,3366.86,250430609.0
hs300,2015-02-06,3352.33,3312.42,3374.05,3285.94,192664186.0
hs300,2015-02-09,3305.73,3345.92,3376.53,3298.6,172353820.0
hs300,2015-02-10,3345.08,3406.94,3407.18,3339.55,159309088.0
hs300,2015-02-11,3415.98,3434.12,3445.66,3412.14,144613772.0
hs300,2015-02-12,3435.36,3442.87,3453.58,3405.63,156081691.0
hs300,2015-02-13,3458.83,3469.83,3509.5,3452.08,201089971.0
hs300,2015-02-16,3473.29,3499.48,3504.48,3466.61,165641343.0
hs300,2015-02-17,3511.54,3522.32,3536.82,3511.09,165328313.0
hs300,2015-02-25,3529.55,3478.73,3529.55,3463.96,165539351.0
hs300,2015-02-26,3473.71,3566.29,3569.33,3456.87,229328438.0
hs300,2015-02-27,3565.23,3572.84,3594.81,3560.46,222786438.0
hs300,2015-03-02,3603.45,3601.26,3608.69,3566.53,248176125.0
hs300,2015-03-03,3579.31,3507.9,3579.31,3504.2,261866489.0
hs300,2015-03-04,3514.67,3530.82,3540.91,3497.17,199663981.0
hs300,2015-03-05,3513.25,3496.34,3517.08,3467.68,217508805.0
hs300,2015-03-06,3501.18,3478.52,3516.24,3472.39,181518054.0
hs300,2015-03-09,3449.7,3537.75,3546.71,3417.49,233940411.0
hs300,2015-03-10,3523.64,3520.61,3551.21,3511.99,194267657.0
hs300,2015-03-11,3524.57,3524.65,3568.92,3512.22,188947825.0
hs300,2015-03-12,3557.69,3592.84,3603.34,3536.53,265664625.0
hs300,2015-03-13,3604.67,3617.66,3641.39,3594.74,246864768.0
hs300,2015-03-16,3641.77,3705.67,3705.74,3621.12,275438307.0
hs300,2015-03-17,3733.96,3757.12,3762.57,3716.81,371625666.0
hs300,2015-03-18,3769.09,3846.05,3846.05,3763.85,415190011.0
hs300,2015-03-19,3851.25,3839.74,3859.13,3809.71,391547630.0
hs300,2015-03-20,3852.49,3892.57,3916.86,3832.42,401817552.0
hs300,2015-03-23,3923.08,3972.06,3972.3,3922.21,391119922.0
hs300,2015-03-24,3980.07,3973.05,3989.86,3883.78,468581312.0
hs300,2015-03-25,3961.58,3940.41,3980.72,3913.99,379968851.0
hs300,2015-03-26,3921.75,3950.0,3992.0,3892.88,346756315.0
hs300,2015-03-27,3957.542,3971.697,3993.032,3993.032,298756064.0
hs300,2015-03-30,3999.02,4088.18,4101.65,3999.02,428297020.0
hs300,2015-03-31,4138.88,4051.2,4166.02,4037.77,436065635.0
603993,2015-01-05,2.852,3.139,3.139,2.836,305108.0
603993,2015-01-06,3.285,3.23,3.38,3.161,564957.0
603993,2015-01-07,3.21,3.341,3.484,3.158,415685.0
603993,2015-01-08,3.302,3.249,3.351,3.175,247315.0
603993,2015-01-09,3.21,3.227,3.373,3.194,315784.0
603993,2015-01-12,3.145,3.165,3.207,3.073,206291.0
603993,2015-01-13,3.165,3.073,3.207,3.057,193576.0
603993,2015-01-14,3.09,2.989,3.109,2.94,217685.0
603993,2015-01-15,2.963,3.025,3.031,2.927,187709.0
603993,2015-01-16,3.064,3.129,3.142,3.021,338628.0
603993,2015-01-19,2.95,2.904,3.057,2.816,241504.0
603993,2015-01-20,2.93,2.966,2.982,2.884,145366.0
603993,2015-01-21,2.972,3.161,3.259,2.969,454624.0
603993,2015-01-22,3.168,3.478,3.478,3.126,608139.0
603993,2015-01-23,3.52,3.562,3.706,3.481,687994.0
603993,2015-01-26,3.52,3.641,3.667,3.455,475765.0
603993,2015-01-27,3.595,3.82,3.973,3.579,546382.0
603993,2015-01-28,3.745,3.673,3.774,3.644,281843.0
603993,2015-01-29,3.618,3.592,3.66,3.491,240299.0
603993,2015-01-30,3.588,3.595,3.742,3.556,294558.0
603993,2015-02-02,3.553,3.644,3.703,3.471,196895.0
603993,2015-02-03,3.683,3.654,3.716,3.523,218118.0
603993,2015-02-04,3.641,3.826,3.879,3.631,400083.0
603993,2015-02-05,3.911,3.699,4.051,3.689,330420.0
603993,2015-02-06,3.595,3.51,3.683,3.448,225229.0
603993,2015-02-09,3.51,3.494,3.559,3.458,124628.0
603993,2015-02-10,3.471,3.588,3.608,3.465,118878.0
603993,2015-02-11,3.575,3.562,3.641,3.491,152897.0
603993,2015-02-12,3.566,3.504,3.582,3.439,142242.0
603993,2015-02-13,3.546,3.676,3.774,3.53,287238.0
603993,2015-02-16,3.703,3.745,3.748,3.624,180237.0
603993,2015-02-17,3.735,3.703,3.807,3.699,151159.0
603993,2015-02-25,3.712,3.608,3.712,3.588,140937.0
603993,2015-02-26,3.608,3.97,3.97,3.588,299977.0
603993,2015-02-27,3.986,4.1,4.289,3.888,461119.0
603993,2015-03-02,4.198,4.169,4.335,4.087,405838.0
603993,2015-03-03,4.123,4.11,4.358,4.055,377340.0
603993,2015-03-04,4.074,4.077,4.162,3.953,298982.0
603993,2015-03-05,4.032,4.208,4.253,3.996,283782.0
603993,2015-03-06,4.169,4.273,4.481,4.12,343724.0
603993,2015-03-09,4.237,4.224,4.253,4.048,214229.0
603993,2015-03-10,4.204,4.208,4.358,4.175,174100.0
603993,2015-03-11,4.201,4.152,4.312,4.077,165508.0
603993,2015-03-12,4.156,4.169,4.217,4.074,128768.0
603993,2015-03-13,4.156,4.283,4.4,4.107,184893.0
603993,2015-03-16,4.299,4.459,4.462,4.253,229528.0
603993,2015-03-17,4.472,4.413,4.55,4.367,259421.0
603993,2015-03-18,4.384,4.465,4.472,4.367,217550.0
603993,2015-03-19,4.472,4.433,4.592,4.403,244449.0
603993,2015-03-20,4.429,4.406,4.433,4.325,205280.0
603993,2015-03-23,4.485,4.436,4.596,4.406,254149.0
603993,2015-03-24,4.446,4.384,4.514,4.273,268390.0
603993,2015-03-25,4.345,4.224,4.367,4.172,275913.0
603993,2015-03-26,4.221,4.318,4.387,4.139,291114.0
603993,2015-03-27,4.351,4.335,4.393,4.318,216859.74
603993,2015-03-30,4.338,4.41,4.429,4.305,274583.0
603993,2015-03-31,4.42,4.429,4.592,4.393,369002.0
603766,2015-01-05,5.104,5.257,5.306,5.059,116351.0
603766,2015-01-06,5.44,5.573,5.577,5.352,205590.0
603766,2015-01-07,5.482,5.478,5.558,5.436,113550.0
603766,2015-01-08,5.459,5.447,5.558,5.413,83295.0
603766,2015-01-09,5.451,5.333,5.485,5.333,96729.0
603766,2015-01-12,5.276,5.112,5.276,5.036,106047.0
603766,2015-01-13,5.131,5.322,5.36,5.074,90795.0
603766,2015-01-14,5.329,5.364,5.501,5.291,95724.0
603766,2015-01-15,5.398,5.558,5.607,5.398,179120.0
603766,2015-01-16,5.558,5.569,5.664,5.47,123705.0
603766,2015-01-19,5.333,5.367,5.6,5.295,117689.0
603766,2015-01-20,5.417,5.649,5.661,5.417,128157.0
603766,2015-01-21,5.703,5.756,5.843,5.668,154201.0
603766,2015-01-22,5.828,5.687,5.832,5.638,155608.0
603766,2015-01-23,5.672,5.554,5.744,5.523,121171.0
603766,2015-01-26,5.71,5.832,5.874,5.649,214928.0
603766,2015-01-27,5.859,5.763,5.866,5.63,153872.0
603766,2015-01-28,5.725,5.695,5.763,5.664,73440.0
603766,2015-01-29,5.657,5.607,5.699,5.577,93919.0
603766,2015-01-30,5.607,5.527,5.691,5.523,64525.0
603766,2015-02-02,5.516,5.371,5.516,5.352,90810.0
603766,2015-02-03,5.409,5.478,5.504,5.394,89139.0
603766,2015-02-04,5.504,5.383,5.508,5.375,82193.0
603766,2015-02-05,5.455,5.36,5.47,5.341,85578.0
603766,2015-02-06,5.341,5.124,5.386,5.066,122251.0
603766,2015-02-09,5.131,5.181,5.2,5.093,68037.0
603766,2015-02-10,5.181,5.2,5.219,5.097,67375.0
603766,2015-02-11,5.215,5.405,5.409,5.188,76430.0
603766,2015-02-12,5.478,5.485,5.523,5.383,82383.0
603766,2015-02-13,5.489,5.501,5.581,5.485,105549.0
603766,2015-02-16,5.504,5.577,5.623,5.501,86905.0
603766,2015-02-17,5.584,5.683,5.836,5.584,134980.0
603766,2015-02-25,5.706,5.722,5.813,5.691,110727.0
603766,2015-02-26,5.722,5.664,5.76,5.607,66454.0
603766,2015-02-27,5.664,5.729,5.817,5.657,113589.0
603766,2015-03-02,5.775,5.786,5.851,5.729,141587.0
603766,2015-03-03,5.813,5.653,5.828,5.638,127366.0
603766,2015-03-04,5.661,6.023,6.103,5.649,239832.0
603766,2015-03-05,5.984,6.11,6.194,5.943,248325.0
603766,2015-03-06,6.11,6.049,6.262,6.007,160637.0
603766,2015-03-09,6.049,6.369,6.43,5.927,239097.0
603766,2015-03-10,6.358,6.422,6.529,6.274,186356.0
603766,2015-03-11,6.381,6.438,6.468,6.289,126080.0
603766,2015-03-12,6.438,6.19,6.438,6.171,121041.0
